,ticker,firm,sector
0,IZINV,İZ YATIRIM HOLDİNG A.Ş.,"AGRICULTURE, FORESTRY AND FISHING"
1,OZSUB,ÖZSU BALIK ÜRETİM A.Ş.,"AGRICULTURE, FORESTRY AND FISHING"
2,YAPRK,YAPRAK SÜT VE BESİ ÇİFTLİKLERİ SANAYİ VE TİCARET A.Ş.,"AGRICULTURE, FORESTRY AND FISHING"
3,IZINV,İZ YATIRIM HOLDİNG A.Ş.,CROP AND ANIMAL PRODUCTION HUNTING AND RELATED SERVICE ACTIVITIES
4,YAPRK,YAPRAK SÜT VE BESİ ÇİFTLİKLERİ SANAYİ VE TİCARET A.Ş.,CROP AND ANIMAL PRODUCTION HUNTING AND RELATED SERVICE ACTIVITIES
5,OZSUB,ÖZSU BALIK ÜRETİM A.Ş.,FISHING AND FISHERIES
6,ALMAD,ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,MINING AND QUARRYING
7,IPEKE,İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.,MINING AND QUARRYING
8,KOZAL,KOZA ALTIN İŞLETMELERİ A.Ş.,MINING AND QUARRYING
9,KOZAA,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.,MINING AND QUARRYING
10,PRKME,PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.,MINING AND QUARRYING
11,ALMAD,ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,MINING OF COAL AND LIGNITE
12,PRKME,PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.,MINING OF COAL AND LIGNITE
13,IPEKE,İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.,EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS
14,KOZAL,KOZA ALTIN İŞLETMELERİ A.Ş.,MINING OF METAL ORES
15,KOZAA,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.,MINING OF METAL ORES
16,ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
17,ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,MANUFACTURING
18,AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,MANUFACTURING
19,AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,MANUFACTURING
20,ATEKS,AKIN TEKSTİL A.Ş.,MANUFACTURING
21,AKSA,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,MANUFACTURING
22,ALCAR,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,MANUFACTURING
23,ALKIM,ALKİM ALKALİ KİMYA A.Ş.,MANUFACTURING
24,ALKA,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,MANUFACTURING
25,AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,MANUFACTURING
26,ASUZU,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,MANUFACTURING
27,ANGEN,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,MANUFACTURING
28,ARCLK,ARÇELİK A.Ş.,MANUFACTURING
29,ARSAN,ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.,MANUFACTURING
30,AVOD,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,MANUFACTURING
31,AYES,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,MANUFACTURING
32,AYGAZ,AYGAZ A.Ş.,MANUFACTURING
33,BAGFS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,MANUFACTURING
34,BAKAB,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
35,BALAT,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,MANUFACTURING
36,BNTAS,BANTAŞ BANDIRMA AMBALAJ SANAYİ TİCARET A.Ş.,MANUFACTURING
37,BANVT,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.,MANUFACTURING
38,BARMA,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
39,BASCM,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,MANUFACTURING
40,BTCIM,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,MANUFACTURING
41,BSOKE,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,MANUFACTURING
42,BAYRK,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,MANUFACTURING
43,BRKSN,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,MANUFACTURING
44,BLCYT,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,MANUFACTURING
45,BRKO,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,MANUFACTURING
46,BRMEN,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,MANUFACTURING
47,BMSTL,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,MANUFACTURING
48,BMSCH,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,MANUFACTURING
49,BOBET,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,MANUFACTURING
50,BRSAN,BORUSAN MANNESMANN BORU SANAYİ VE TİCARET A.Ş.,MANUFACTURING
51,BFREN,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
52,BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,MANUFACTURING
53,BRISA,BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,MANUFACTURING
54,BURCE,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,MANUFACTURING
55,BURVA,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
56,BUCIM,BURSA ÇİMENTO FABRİKASI A.Ş.,MANUFACTURING
57,CCOLA,COCA-COLA İÇECEK A.Ş.,MANUFACTURING
58,CELHA,ÇELİK HALAT VE TEL SANAYİİ A.Ş.,MANUFACTURING
59,CEMAS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,MANUFACTURING
60,CEMTS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
61,CMBTN,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,MANUFACTURING
62,CMENT,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,MANUFACTURING
63,CIMSA,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,MANUFACTURING
64,CUSAN,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,MANUFACTURING
65,DAGI,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,MANUFACTURING
66,DARDL,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,MANUFACTURING
67,DMSAS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,MANUFACTURING
68,DERIM,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
69,DESA,DESA DERİ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
70,DEVA,DEVA HOLDİNG A.Ş.,MANUFACTURING
71,DNISI,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
72,DIRIT,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,MANUFACTURING
73,DITAS,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,MANUFACTURING
74,DGNMO,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,MANUFACTURING
75,DOGUB,DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.,MANUFACTURING
76,DOKTA,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,MANUFACTURING
77,DURDO,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,MANUFACTURING
78,DYOBY,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,MANUFACTURING
79,EGEEN,EGE ENDÜSTRİ VE TİCARET A.Ş.,MANUFACTURING
80,EGGUB,EGE GÜBRE SANAYİİ A.Ş.,MANUFACTURING
81,EGPRO,EGE PROFİL TİCARET VE SANAYİ A.Ş.,MANUFACTURING
82,EGSER,EGE SERAMİK SANAYİ VE TİCARET A.Ş.,MANUFACTURING
83,EPLAS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,MANUFACTURING
84,EKIZ,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
85,ELITE,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
86,EMKEL,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,MANUFACTURING
87,EMNIS,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
88,ENSRI,ENSARİ DERİ GIDA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
89,ERBOS,ERBOSAN ERCİYAS BORU SANAYİİ VE TİCARET A.Ş.,MANUFACTURING
90,ERCB,ERCİYAS ÇELİK BORU SANAYİ A.Ş.,MANUFACTURING
91,EREGL,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,MANUFACTURING
92,ERSU,ERSU MEYVE VE GIDA SANAYİ A.Ş.,MANUFACTURING
93,TEZOL,EUROPAP TEZOL KAĞIT SANAYİ VE TİCARET A.Ş.,MANUFACTURING
94,EUREN,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.,MANUFACTURING
95,FADE,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.,MANUFACTURING
96,FMIZP,FEDERAL-MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.,MANUFACTURING
97,FROTO,FORD OTOMOTİV SANAYİ A.Ş.,MANUFACTURING
98,FORMT,FORMET METAL VE CAM SANAYİ A.Ş.,MANUFACTURING
99,FRIGO,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
100,GEDZA,GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
101,GENTS,GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.,MANUFACTURING
102,GEREL,GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.,MANUFACTURING
103,GOODY,GOODYEAR LASTİKLERİ T.A.Ş.,MANUFACTURING
104,GOLTS,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.,MANUFACTURING
105,GUBRF,GÜBRE FABRİKALARI T.A.Ş.,MANUFACTURING
106,HATEK,HATEKS HATAY TEKSTİL İŞLETMELERİ A.Ş.,MANUFACTURING
107,HEKTS,HEKTAŞ TİCARET T.A.Ş.,MANUFACTURING
108,HKTM,HİDROPAR HAREKET KONTROL TEKNOLOJİLERİ MERKEZİ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
109,ISKPL,IŞIK PLASTİK SANAYİ VE DIŞ TİCARET PAZARLAMA A.Ş.,MANUFACTURING
110,IHEVA,İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET A.Ş.,MANUFACTURING
111,IMASM,İMAŞ MAKİNA SANAYİ A.Ş.,MANUFACTURING
112,ISDMR,İSKENDERUN DEMİR VE ÇELİK A.Ş.,MANUFACTURING
113,ISSEN,İŞBİR SENTETİK DOKUMA SANAYİ A.Ş.,MANUFACTURING
114,IZMDC,İZMİR DEMİR ÇELİK SANAYİ A.Ş.,MANUFACTURING
115,IZFAS,İZMİR FIRÇA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
116,JANTS,JANTSA JANT SANAYİ VE TİCARET A.Ş.,MANUFACTURING
117,KLKIM,KALEKİM KİMYEVİ MADDELER SANAYİ VE TİCARET A.Ş.,MANUFACTURING
118,KAPLM,KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
119,"KRDMA, KRDMB, KRDMD",KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,MANUFACTURING
120,KARSN,KARSAN OTOMOTİV SANAYİİ VE TİCARET A.Ş.,MANUFACTURING
121,KRTEK,KARSU TEKSTİL SANAYİİ VE TİCARET A.Ş.,MANUFACTURING
122,KARTN,KARTONSAN KARTON SANAYİ VE TİCARET A.Ş.,MANUFACTURING
123,KATMR,KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SANAYİ VE TİCARET A.Ş.,MANUFACTURING
124,KENT,KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.,MANUFACTURING
125,KERVT,KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
126,KRVGD,KERVAN GIDA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
127,KMPUR,KİMTEKS POLİÜRETAN SANAYİ VE TİCARET A.Ş.,MANUFACTURING
128,KLMSN,KLİMASAN KLİMA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
129,KCAER,KOCAER ÇELİK SANAYİ VE TİCARET A.Ş.,MANUFACTURING
130,KLSYN,KOLEKSİYON MOBİLYA SANAYİ A.Ş.,MANUFACTURING
131,KNFRT,KONFRUT GIDA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
132,KONYA,KONYA ÇİMENTO SANAYİİ A.Ş.,MANUFACTURING
133,KONKA,KONYA KAĞIT SANAYİ VE TİCARET A.Ş.,MANUFACTURING
134,KORDS,KORDSA TEKNİK TEKSTİL A.Ş.,MANUFACTURING
135,KRPLS,KOROPLAST TEMİZLİK AMBALAJ ÜRÜNLERİ SANAYİ VE DIŞ TİCARET A.Ş.,MANUFACTURING
136,KRSTL,KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET A.Ş.,MANUFACTURING
137,KUTPO,KÜTAHYA PORSELEN SANAYİ A.Ş.,MANUFACTURING
138,KTSKR,KÜTAHYA ŞEKER FABRİKASI A.Ş.,MANUFACTURING
139,LUKSK,LÜKS KADİFE TİCARET VE SANAYİİ A.Ş.,MANUFACTURING
140,MAKIM,MAKİM MAKİNA TEKNOLOJİLERİ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
141,MAKTK,MAKİNA TAKIM ENDÜSTRİSİ A.Ş.,MANUFACTURING
142,MRSHL,MARSHALL BOYA VE VERNİK SANAYİİ A.Ş.,MANUFACTURING
143,MEDTR,MEDİTERA TIBBİ MALZEME SANAYİ VE TİCARET A.Ş.,MANUFACTURING
144,MEGAP,MEGA POLİETİLEN KÖPÜK SANAYİ VE TİCARET A.Ş.,MANUFACTURING
145,MNDRS,MENDERES TEKSTİL SANAYİ VE TİCARET A.Ş.,MANUFACTURING
146,MERCN,MERCAN KİMYA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
147,MERKO,MERKO GIDA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
148,MNDTR,MONDİ TURKEY OLUKLU MUKAVVA KAĞIT VE AMBALAJ SANAYİ A.Ş.,MANUFACTURING
149,NIBAS,NİĞBAŞ NİĞDE BETON SANAYİ VE TİCARET A.Ş.,MANUFACTURING
150,NUHCM,NUH ÇİMENTO SANAYİ A.Ş.,MANUFACTURING
151,ORCAY,ORÇAY ORTAKÖY ÇAY SANAYİ VE TİCARET A.Ş.,MANUFACTURING
152,ORMA,ORMA ORMAN MAHSULLERİ İNTEGRE SANAYİ VE TİCARET A.Ş.,MANUFACTURING
153,OTKAR,OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş.,MANUFACTURING
154,OYAKC,OYAK ÇİMENTO FABRİKALARI A.Ş.,MANUFACTURING
155,OYLUM,OYLUM SINAİ YATIRIMLAR A.Ş.,MANUFACTURING
156,OZRDN,ÖZERDEN PLASTİK SANAYİ VE TİCARET A.Ş.,MANUFACTURING
157,PNLSN,PANELSAN ÇATI CEPHE SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
158,PARSN,PARSAN MAKİNA PARÇALARI SANAYİİ A.Ş.,MANUFACTURING
159,PENGD,PENGUEN GIDA SANAYİ A.Ş.,MANUFACTURING
160,PETKM,PETKİM PETROKİMYA HOLDİNG A.Ş.,MANUFACTURING
161,PETUN,PINAR ENTEGRE ET VE UN SANAYİİ A.Ş.,MANUFACTURING
162,PINSU,PINAR SU VE İÇECEK SANAYİ VE TİCARET A.Ş.,MANUFACTURING
163,PNSUT,PINAR SÜT MAMULLERİ SANAYİİ A.Ş.,MANUFACTURING
164,POLTK,POLİTEKNİK METAL SANAYİ VE TİCARET A.Ş.,MANUFACTURING
165,PRZMA,PRİZMA PRES MATBAACILIK YAYINCILIK SANAYİ VE TİCARET A.Ş.,MANUFACTURING
166,QUAGR,QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.,MANUFACTURING
167,RNPOL,RAİNBOW POLİKARBONAT SANAYİ TİCARET A.Ş.,MANUFACTURING
168,RODRG,RODRİGO TEKSTİL SANAYİ VE TİCARET A.Ş.,MANUFACTURING
169,ROYAL,ROYAL HALI İPLİK TEKSTİL MOBİLYA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
170,RTALB,RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.,MANUFACTURING
171,RUBNS,RUBENİS TEKSTİL SANAYİ TİCARET A.Ş.,MANUFACTURING
172,SAFKR,SAFKAR EGE SOĞUTMACILIK KLİMA SOĞUK HAVA TESİSLERİ İHRACAT İTHALAT SANAYİ VE TİCARET A.Ş.,MANUFACTURING
173,SNICA,SANİCA ISI SANAYİ A.Ş.,MANUFACTURING
174,SANFM,SANİFOAM ENDÜSTRİ VE TÜKETİM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,MANUFACTURING
175,SAMAT,SARAY MATBAACILIK KAĞITÇILIK KIRTASİYECİLİK TİCARET VE SANAYİ A.Ş.,MANUFACTURING
176,SARKY,SARKUYSAN ELEKTROLİTİK BAKIR SANAYİ VE TİCARET A.Ş.,MANUFACTURING
177,SASA,SASA POLYESTER SANAYİ A.Ş.,MANUFACTURING
178,SAYAS,SAY YENİLENEBİLİR ENERJİ EKİPMANLARI SANAYİ VE TİCARET A.Ş.,MANUFACTURING
179,SEKUR,SEKURO PLASTİK AMBALAJ SANAYİ A.Ş.,MANUFACTURING
180,SELGD,SELÇUK GIDA ENDÜSTRİ İHRACAT İTHALAT A.Ş.,MANUFACTURING
181,SELVA,SELVA GIDA SANAYİ A.Ş.,MANUFACTURING
182,SEYKM,SEYİTLER KİMYA SANAYİ A.Ş.,MANUFACTURING
183,SILVR,SİLVERLİNE ENDÜSTRİ VE TİCARET A.Ş.,MANUFACTURING
184,SODSN,SODAŞ SODYUM SANAYİİ A.Ş.,MANUFACTURING
185,SKTAS,SÖKTAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,MANUFACTURING
186,SNPAM,SÖNMEZ PAMUKLU SANAYİİ A.Ş.,MANUFACTURING
187,SUMAS,SUMAŞ SUNİ TAHTA VE MOBİLYA SANAYİ A.Ş.,MANUFACTURING
188,SUNTK,SUN TEKSTİL SANAYİ VE TİCARET A.Ş.,MANUFACTURING
189,TATGD,TAT GIDA SANAYİ A.Ş.,MANUFACTURING
190,TMPOL,TEMAPOL POLİMER PLASTİK VE İNŞAAT SANAYİ TİCARET A.Ş.,MANUFACTURING
191,TETMT,TETAMAT GIDA YATIRIMLARI A.Ş.,MANUFACTURING
192,TOASO,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.,MANUFACTURING
193,TUCLK,TUĞÇELİK ALÜMİNYUM VE METAL MAMÜLLERİ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
194,TUKAS,TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
195,TRILC,TURK İLAÇ VE SERUM SANAYİ A.Ş.,MANUFACTURING
196,TMSN,TÜMOSAN MOTOR VE TRAKTÖR SANAYİ A.Ş.,MANUFACTURING
197,TUPRS,TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.,MANUFACTURING
198,PRKAB,TÜRK PRYSMİAN KABLO VE SİSTEMLERİ A.Ş.,MANUFACTURING
199,TTRAK,TÜRK TRAKTÖR VE ZİRAAT MAKİNELERİ A.Ş.,MANUFACTURING
200,TBORG,TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.,MANUFACTURING
201,ULUSE,ULUSOY ELEKTRİK İMALAT TAAHHÜT VE TİCARET A.Ş.,MANUFACTURING
202,ULUUN,ULUSOY UN SANAYİ VE TİCARET A.Ş.,MANUFACTURING
203,USAK,UŞAK SERAMİK SANAYİ A.Ş.,MANUFACTURING
204,ULKER,ÜLKER BİSKÜVİ SANAYİ A.Ş.,MANUFACTURING
205,VANGD,VANET GIDA SANAYİ İÇ VE DIŞ TİCARET A.Ş.,MANUFACTURING
206,VESBE,VESTEL BEYAZ EŞYA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
207,VESTL,VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,MANUFACTURING
208,VKING,VİKİNG KAĞIT VE SELÜLOZ A.Ş.,MANUFACTURING
209,YATAS,YATAŞ YATAK VE YORGAN SANAYİ TİCARET A.Ş.,MANUFACTURING
210,YYLGD,YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
211,YBTAS,YİBİTAŞ YOZGAT İŞÇİ BİRLİĞİ İNŞAAT MALZEMELERİ TİCARET VE SANAYİ A.Ş.,MANUFACTURING
212,YONGA,YONGA MOBİLYA SANAYİ VE TİCARET A.Ş.,MANUFACTURING
213,YKSLN,YÜKSELEN ÇELİK A.Ş.,MANUFACTURING
214,YUNSA,YÜNSA YÜNLÜ SANAYİ VE TİCARET A.Ş.,MANUFACTURING
215,AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
216,AVOD,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
217,BANVT,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
218,CCOLA,COCA-COLA İÇECEK A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
219,DARDL,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
220,EKIZ,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
221,ELITE,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
222,ERSU,ERSU MEYVE VE GIDA SANAYİ A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
223,FADE,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
224,FRIGO,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
225,KENT,KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
226,KERVT,KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
227,KRVGD,KERVAN GIDA SANAYİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
228,KNFRT,KONFRUT GIDA SANAYİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
229,KRSTL,KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
230,KTSKR,KÜTAHYA ŞEKER FABRİKASI A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
231,MERKO,MERKO GIDA SANAYİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
232,ORCAY,ORÇAY ORTAKÖY ÇAY SANAYİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
233,OYLUM,OYLUM SINAİ YATIRIMLAR A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
234,PENGD,PENGUEN GIDA SANAYİ A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
235,PETUN,PINAR ENTEGRE ET VE UN SANAYİİ A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
236,PINSU,PINAR SU VE İÇECEK SANAYİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
237,PNSUT,PINAR SÜT MAMULLERİ SANAYİİ A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
238,SELGD,SELÇUK GIDA ENDÜSTRİ İHRACAT İTHALAT A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
239,SELVA,SELVA GIDA SANAYİ A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
240,TATGD,TAT GIDA SANAYİ A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
241,TETMT,TETAMAT GIDA YATIRIMLARI A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
242,TUKAS,TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
243,TBORG,TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
244,ULUUN,ULUSOY UN SANAYİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
245,ULKER,ÜLKER BİSKÜVİ SANAYİ A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
246,VANGD,VANET GIDA SANAYİ İÇ VE DIŞ TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
247,YYLGD,YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.,"FOOD, BEVERAGE AND TOBACCO"
248,ATEKS,AKIN TEKSTİL A.Ş.,"TEXTILE, WEARING APPAREL AND LEATHER"
249,ARSAN,ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.,"TEXTILE, WEARING APPAREL AND LEATHER"
250,BLCYT,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,"TEXTILE, WEARING APPAREL AND LEATHER"
251,BRKO,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,"TEXTILE, WEARING APPAREL AND LEATHER"
252,BRMEN,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,"TEXTILE, WEARING APPAREL AND LEATHER"
253,BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,"TEXTILE, WEARING APPAREL AND LEATHER"
254,DAGI,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,"TEXTILE, WEARING APPAREL AND LEATHER"
255,DERIM,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,"TEXTILE, WEARING APPAREL AND LEATHER"
